局名,ppb
西部コミュニティセンター,84
国設大阪,71
茨木市役所,80
高石中学校,57
池田市立南畑会館,91
大東市役所,84
府立修徳学院,70
貝塚市消防署,59
島本町役場,85
富田林市役所,63
南海団地,54
泉南市役所,55
緑ケ丘小学校,66
三日市公民館,66
藤井寺市役所,****
岸和田中央公園,60
佐野中学校,55
泉大津市役所,56
豊能町役場,65
此花区役所,75
平尾小学校,71
野中小学校,68
桃谷中学校,76
大宮中学校,84
聖賢小学校,77
清江小学校,64
摂陽中学校,73
今宮中学校,83
九条南小学校,71
茨田北小学校,61
南港中央公園,54
出来島小学校,48
少林寺,73
浜寺,79
三宝,64
若松台,64
石津,59
登美丘,74
深井,75
美原,67
金岡南,82
高石消防署高師浜出張所,49
豊中市千成,78
豊中市千里,78
豊中市役所,83
吹田市垂水,86
吹田市北消防署,92
吹田市高野台,89
東大阪市西保健センター,88
東大阪市六万寺,91
東大阪市環境衛生検査センター,85
楠葉,92
枚方市役所,100
王仁公園,86
高槻北,78
庄所,91
八尾市保健所,90
成田,
寝屋川市役所,87
