局名,ppb
西部コミュニティセンター,11
国設大阪,11
茨木市役所,7
高石中学校,12
池田市立南畑会館,11
大東市役所,9
府立修徳学院,3
貝塚市消防署,14
島本町役場,11
富田林市役所,****
南海団地,13
泉南市役所,14
緑ケ丘小学校,12
三日市公民館,9
藤井寺市役所,11
岸和田中央公園,14
佐野中学校,9
泉大津市役所,12
豊能町役場,14
此花区役所,7
平尾小学校,9
野中小学校,8
桃谷中学校,6
大宮中学校,11
聖賢小学校,9
清江小学校,****
摂陽中学校,11
今宮中学校,****
九条南小学校,10
茨田北小学校,8
南港中央公園,****
出来島小学校,****
少林寺,10
浜寺,13
三宝,9
若松台,12
石津,10
登美丘,11
深井,11
美原,8
金岡南,13
高石消防署高師浜出張所,10
豊中市千成,6
豊中市千里,9
豊中市役所,11
吹田市垂水,6
吹田市北消防署,10
吹田市高野台,8
東大阪市西保健センター,11
東大阪市六万寺,8
東大阪市環境衛生検査センター,8
楠葉,7
枚方市役所,10
王仁公園,6
高槻北,22
庄所,8
八尾市保健所,8
成田,
寝屋川市役所,8
