局名,ppb
西部コミュニティセンター,6
国設大阪,5
茨木市役所,7
高石中学校,3
池田市立南畑会館,8
大東市役所,6
府立修徳学院,9
貝塚市消防署,13
島本町役場,13
富田林市役所,14
南海団地,11
泉南市役所,11
緑ケ丘小学校,15
三日市公民館,7
藤井寺市役所,4
岸和田中央公園,11
佐野中学校,7
泉大津市役所,8
豊能町役場,11
此花区役所,5
平尾小学校,5
野中小学校,8
桃谷中学校,4
大宮中学校,8
聖賢小学校,6
清江小学校,5
摂陽中学校,4
今宮中学校,5
九条南小学校,5
茨田北小学校,7
南港中央公園,6
出来島小学校,7
少林寺,5
浜寺,4
三宝,3
若松台,14
石津,3
登美丘,9
深井,4
美原,6
金岡南,7
高石消防署高師浜出張所,0
豊中市千成,8
豊中市千里,4
豊中市役所,8
吹田市垂水,8
吹田市北消防署,9
吹田市高野台,10
東大阪市西保健センター,5
東大阪市六万寺,11
東大阪市環境衛生検査センター,4
楠葉,17
枚方市役所,12
王仁公園,14
高槻北,27
庄所,13
八尾市保健所,5
成田,
寝屋川市役所,7
