局名,ppb
西部コミュニティセンター,52
国設大阪,48
茨木市役所,42
高石中学校,29
池田市立南畑会館,54
大東市役所,39
府立修徳学院,37
貝塚市消防署,35
島本町役場,42
富田林市役所,113
南海団地,35
泉南市役所,39
緑ケ丘小学校,58
三日市公民館,74
藤井寺市役所,77
岸和田中央公園,26
佐野中学校,56
泉大津市役所,29
豊能町役場,****
此花区役所,31
平尾小学校,27
野中小学校,****
桃谷中学校,51
大宮中学校,58
聖賢小学校,58
清江小学校,32
摂陽中学校,56
今宮中学校,35
九条南小学校,33
茨田北小学校,46
南港中央公園,25
出来島小学校,27
少林寺,33
浜寺,29
三宝,31
若松台,61
石津,39
登美丘,82
深井,66
美原,85
金岡南,67
高石消防署高師浜出張所,29
豊中市千成,55
豊中市千里,46
豊中市役所,53
吹田市垂水,52
吹田市北消防署,48
吹田市高野台,47
東大阪市西保健センター,58
東大阪市六万寺,29
東大阪市環境衛生検査センター,50
楠葉,41
枚方市役所,49
王仁公園,35
高槻北,46
庄所,49
八尾市保健所,67
成田,
寝屋川市役所,27
