局名,ppb
西部コミュニティセンター,67
国設大阪,49
茨木市役所,67
高石中学校,61
池田市立南畑会館,72
大東市役所,63
府立修徳学院,48
貝塚市消防署,61
島本町役場,70
富田林市役所,57
南海団地,58
泉南市役所,63
緑ケ丘小学校,60
三日市公民館,52
藤井寺市役所,59
岸和田中央公園,64
佐野中学校,73
泉大津市役所,69
豊能町役場,56
此花区役所,66
平尾小学校,72
野中小学校,57
桃谷中学校,57
大宮中学校,69
聖賢小学校,56
清江小学校,56
摂陽中学校,65
今宮中学校,68
九条南小学校,65
茨田北小学校,67
南港中央公園,73
出来島小学校,68
少林寺,62
浜寺,47
三宝,72
若松台,57
石津,78
登美丘,58
深井,55
美原,47
金岡南,49
高石消防署高師浜出張所,70
豊中市千成,67
豊中市千里,66
豊中市役所,63
吹田市垂水,62
吹田市北消防署,71
吹田市高野台,67
東大阪市西保健センター,63
東大阪市六万寺,65
東大阪市環境衛生検査センター,61
楠葉,77
枚方市役所,79
王仁公園,67
高槻北,74
庄所,78
八尾市保健所,66
成田,
寝屋川市役所,63
