局名,ppb
西部コミュニティセンター,8
国設大阪,8
茨木市役所,11
高石中学校,3
池田市立南畑会館,10
大東市役所,8
府立修徳学院,2
貝塚市消防署,6
島本町役場,6
富田林市役所,2
南海団地,4
泉南市役所,3
緑ケ丘小学校,2
三日市公民館,1
藤井寺市役所,6
岸和田中央公園,1
佐野中学校,0
泉大津市役所,6
豊能町役場,10
此花区役所,****
平尾小学校,6
野中小学校,8
桃谷中学校,7
大宮中学校,****
聖賢小学校,****
清江小学校,5
摂陽中学校,****
今宮中学校,7
九条南小学校,****
茨田北小学校,****
南港中央公園,4
出来島小学校,8
少林寺,5
浜寺,5
三宝,5
若松台,2
石津,5
登美丘,3
深井,3
美原,1
金岡南,6
高石消防署高師浜出張所,3
豊中市千成,8
豊中市千里,****
豊中市役所,8
吹田市垂水,8
吹田市北消防署,10
吹田市高野台,****
東大阪市西保健センター,6
東大阪市六万寺,6
東大阪市環境衛生検査センター,5
楠葉,9
枚方市役所,8
王仁公園,10
高槻北,16
庄所,11
八尾市保健所,6
成田,
寝屋川市役所,8
