局名,ppb
西部コミュニティセンター,43
国設大阪,25
茨木市役所,39
高石中学校,53
池田市立南畑会館,52
大東市役所,49
府立修徳学院,35
貝塚市消防署,49
島本町役場,79
富田林市役所,51
南海団地,53
泉南市役所,52
緑ケ丘小学校,52
三日市公民館,54
藤井寺市役所,47
岸和田中央公園,61
佐野中学校,59
泉大津市役所,65
豊能町役場,71
此花区役所,31
平尾小学校,32
野中小学校,31
桃谷中学校,32
大宮中学校,41
聖賢小学校,35
清江小学校,34
摂陽中学校,33
今宮中学校,37
九条南小学校,28
茨田北小学校,30
南港中央公園,43
出来島小学校,24
少林寺,49
浜寺,55
三宝,42
若松台,49
石津,58
登美丘,47
深井,52
美原,34
金岡南,52
高石消防署高師浜出張所,48
豊中市千成,29
豊中市千里,44
豊中市役所,44
吹田市垂水,38
吹田市北消防署,52
吹田市高野台,49
東大阪市西保健センター,39
東大阪市六万寺,48
東大阪市環境衛生検査センター,39
楠葉,78
枚方市役所,68
王仁公園,70
高槻北,68
庄所,72
八尾市保健所,47
成田,
寝屋川市役所,58
