局名,ppb
西部コミュニティセンター,15
国設大阪,16
茨木市役所,16
高石中学校,12
池田市立南畑会館,19
大東市役所,18
府立修徳学院,12
貝塚市消防署,13
島本町役場,11
富田林市役所,****
南海団地,11
泉南市役所,11
緑ケ丘小学校,10
三日市公民館,5
藤井寺市役所,15
岸和田中央公園,12
佐野中学校,8
泉大津市役所,13
豊能町役場,17
此花区役所,****
平尾小学校,14
野中小学校,14
桃谷中学校,14
大宮中学校,****
聖賢小学校,****
清江小学校,15
摂陽中学校,****
今宮中学校,13
九条南小学校,****
茨田北小学校,****
南港中央公園,5
出来島小学校,14
少林寺,15
浜寺,16
三宝,14
若松台,13
石津,16
登美丘,10
深井,12
美原,5
金岡南,18
高石消防署高師浜出張所,11
豊中市千成,14
豊中市千里,12
豊中市役所,16
吹田市垂水,11
吹田市北消防署,12
吹田市高野台,10
東大阪市西保健センター,21
東大阪市六万寺,11
東大阪市環境衛生検査センター,18
楠葉,11
枚方市役所,16
王仁公園,11
高槻北,22
庄所,12
八尾市保健所,16
成田,
寝屋川市役所,13
