局名,ppb
西部コミュニティセンター,51
国設大阪,57
茨木市役所,45
高石中学校,75
池田市立南畑会館,45
大東市役所,50
府立修徳学院,64
貝塚市消防署,76
島本町役場,45
富田林市役所,100
南海団地,59
泉南市役所,70
緑ケ丘小学校,84
三日市公民館,83
藤井寺市役所,89
岸和田中央公園,75
佐野中学校,61
泉大津市役所,76
豊能町役場,50
此花区役所,75
平尾小学校,70
野中小学校,49
桃谷中学校,57
大宮中学校,54
聖賢小学校,59
清江小学校,51
摂陽中学校,65
今宮中学校,74
九条南小学校,71
茨田北小学校,42
南港中央公園,64
出来島小学校,58
少林寺,81
浜寺,83
三宝,73
若松台,88
石津,63
登美丘,94
深井,91
美原,86
金岡南,87
高石消防署高師浜出張所,66
豊中市千成,49
豊中市千里,37
豊中市役所,40
吹田市垂水,44
吹田市北消防署,47
吹田市高野台,46
東大阪市西保健センター,65
東大阪市六万寺,56
東大阪市環境衛生検査センター,62
楠葉,47
枚方市役所,51
王仁公園,49
高槻北,46
庄所,48
八尾市保健所,68
成田,
寝屋川市役所,46
