局名,ppb
西部コミュニティセンター,59
国設大阪,50
茨木市役所,50
高石中学校,55
池田市立南畑会館,52
大東市役所,59
府立修徳学院,56
貝塚市消防署,61
島本町役場,49
富田林市役所,****
南海団地,55
泉南市役所,59
緑ケ丘小学校,78
三日市公民館,58
藤井寺市役所,65
岸和田中央公園,64
佐野中学校,64
泉大津市役所,53
豊能町役場,46
此花区役所,53
平尾小学校,43
野中小学校,60
桃谷中学校,52
大宮中学校,61
聖賢小学校,61
清江小学校,48
摂陽中学校,53
今宮中学校,49
九条南小学校,50
茨田北小学校,66
南港中央公園,42
出来島小学校,45
少林寺,55
浜寺,66
三宝,53
若松台,68
石津,56
登美丘,63
深井,57
美原,50
金岡南,54
高石消防署高師浜出張所,57
豊中市千成,59
豊中市千里,48
豊中市役所,52
吹田市垂水,55
吹田市北消防署,54
吹田市高野台,53
東大阪市西保健センター,65
東大阪市六万寺,69
東大阪市環境衛生検査センター,64
楠葉,50
枚方市役所,56
王仁公園,55
高槻北,50
庄所,53
八尾市保健所,73
成田,
寝屋川市役所,51
