局名,ppb
西部コミュニティセンター,1
国設大阪,3
茨木市役所,3
高石中学校,1
池田市立南畑会館,3
大東市役所,1
府立修徳学院,4
貝塚市消防署,7
島本町役場,4
富田林市役所,3
南海団地,11
泉南市役所,****
緑ケ丘小学校,3
三日市公民館,2
藤井寺市役所,4
岸和田中央公園,2
佐野中学校,7
泉大津市役所,2
豊能町役場,5
此花区役所,1
平尾小学校,2
野中小学校,3
桃谷中学校,2
大宮中学校,3
聖賢小学校,3
清江小学校,1
摂陽中学校,0
今宮中学校,3
九条南小学校,1
茨田北小学校,3
南港中央公園,****
出来島小学校,2
少林寺,2
浜寺,2
三宝,1
若松台,2
石津,1
登美丘,1
深井,1
美原,1
金岡南,3
高石消防署高師浜出張所,0
豊中市千成,3
豊中市千里,1
豊中市役所,2
吹田市垂水,2
吹田市北消防署,2
吹田市高野台,2
東大阪市西保健センター,2
東大阪市六万寺,4
東大阪市環境衛生検査センター,0
楠葉,3
枚方市役所,5
王仁公園,4
高槻北,12
庄所,3
八尾市保健所,0
成田,
寝屋川市役所,3
