局名,ppb
西部コミュニティセンター,56
国設大阪,46
茨木市役所,54
高石中学校,42
池田市立南畑会館,54
大東市役所,62
府立修徳学院,42
貝塚市消防署,41
島本町役場,63
富田林市役所,53
南海団地,42
泉南市役所,44
緑ケ丘小学校,46
三日市公民館,50
藤井寺市役所,48
岸和田中央公園,49
佐野中学校,48
泉大津市役所,47
豊能町役場,47
此花区役所,53
平尾小学校,46
野中小学校,46
桃谷中学校,43
大宮中学校,55
聖賢小学校,52
清江小学校,46
摂陽中学校,44
今宮中学校,45
九条南小学校,45
茨田北小学校,63
南港中央公園,45
出来島小学校,39
少林寺,44
浜寺,46
三宝,45
若松台,48
石津,35
登美丘,48
深井,46
美原,42
金岡南,45
高石消防署高師浜出張所,38
豊中市千成,48
豊中市千里,49
豊中市役所,51
吹田市垂水,49
吹田市北消防署,55
吹田市高野台,57
東大阪市西保健センター,54
東大阪市六万寺,51
東大阪市環境衛生検査センター,51
楠葉,69
枚方市役所,66
王仁公園,63
高槻北,61
庄所,66
八尾市保健所,48
成田,
寝屋川市役所,53
