局名,ppb
西部コミュニティセンター,****
国設大阪,43
茨木市役所,51
高石中学校,91
池田市立南畑会館,61
大東市役所,48
府立修徳学院,50
貝塚市消防署,109
島本町役場,51
富田林市役所,54
南海団地,71
泉南市役所,96
緑ケ丘小学校,117
三日市公民館,91
藤井寺市役所,49
岸和田中央公園,119
佐野中学校,85
泉大津市役所,106
豊能町役場,62
此花区役所,51
平尾小学校,66
野中小学校,****
桃谷中学校,40
大宮中学校,46
聖賢小学校,44
清江小学校,72
摂陽中学校,44
今宮中学校,****
九条南小学校,54
茨田北小学校,51
南港中央公園,60
出来島小学校,44
少林寺,98
浜寺,106
三宝,85
若松台,107
石津,96
登美丘,83
深井,106
美原,37
金岡南,88
高石消防署高師浜出張所,89
豊中市千成,45
豊中市千里,48
豊中市役所,49
吹田市垂水,46
吹田市北消防署,49
吹田市高野台,49
東大阪市西保健センター,39
東大阪市六万寺,45
東大阪市環境衛生検査センター,****
楠葉,49
枚方市役所,54
王仁公園,45
高槻北,50
庄所,49
八尾市保健所,48
成田,
寝屋川市役所,39
