局名,ppb
西部コミュニティセンター,8
国設大阪,20
茨木市役所,1
高石中学校,3
池田市立南畑会館,19
大東市役所,8
府立修徳学院,11
貝塚市消防署,18
島本町役場,2
富田林市役所,11
南海団地,35
泉南市役所,25
緑ケ丘小学校,17
三日市公民館,8
藤井寺市役所,3
岸和田中央公園,9
佐野中学校,12
泉大津市役所,8
豊能町役場,3
此花区役所,20
平尾小学校,21
野中小学校,14
桃谷中学校,15
大宮中学校,9
聖賢小学校,16
清江小学校,16
摂陽中学校,4
今宮中学校,13
九条南小学校,15
茨田北小学校,13
南港中央公園,12
出来島小学校,7
少林寺,7
浜寺,5
三宝,19
若松台,10
石津,12
登美丘,5
深井,1
美原,1
金岡南,5
高石消防署高師浜出張所,2
豊中市千成,15
豊中市千里,14
豊中市役所,7
吹田市垂水,9
吹田市北消防署,8
吹田市高野台,7
東大阪市西保健センター,5
東大阪市六万寺,15
東大阪市環境衛生検査センター,2
楠葉,3
枚方市役所,1
王仁公園,2
高槻北,****
庄所,2
八尾市保健所,3
成田,
寝屋川市役所,1
