局名,ppb
西部コミュニティセンター,9
国設大阪,11
茨木市役所,2
高石中学校,1
池田市立南畑会館,9
大東市役所,17
府立修徳学院,2
貝塚市消防署,11
島本町役場,11
富田林市役所,1
南海団地,22
泉南市役所,19
緑ケ丘小学校,5
三日市公民館,1
藤井寺市役所,1
岸和田中央公園,4
佐野中学校,15
泉大津市役所,1
豊能町役場,16
此花区役所,4
平尾小学校,12
野中小学校,2
桃谷中学校,13
大宮中学校,5
聖賢小学校,11
清江小学校,****
摂陽中学校,1
今宮中学校,****
九条南小学校,8
茨田北小学校,15
南港中央公園,****
出来島小学校,****
少林寺,1
浜寺,1
三宝,5
若松台,1
石津,1
登美丘,0
深井,0
美原,0
金岡南,1
高石消防署高師浜出張所,0
豊中市千成,****
豊中市千里,1
豊中市役所,0
吹田市垂水,3
吹田市北消防署,2
吹田市高野台,1
東大阪市西保健センター,2
東大阪市六万寺,1
東大阪市環境衛生検査センター,2
楠葉,7
枚方市役所,8
王仁公園,8
高槻北,****
庄所,7
八尾市保健所,1
成田,
寝屋川市役所,10
