局名,ppb
西部コミュニティセンター,2
国設大阪,4
茨木市役所,1
高石中学校,8
池田市立南畑会館,5
大東市役所,3
府立修徳学院,16
貝塚市消防署,17
島本町役場,0
富田林市役所,24
南海団地,39
泉南市役所,34
緑ケ丘小学校,19
三日市公民館,21
藤井寺市役所,14
岸和田中央公園,9
佐野中学校,15
泉大津市役所,13
豊能町役場,6
此花区役所,2
平尾小学校,1
野中小学校,2
桃谷中学校,4
大宮中学校,1
聖賢小学校,2
清江小学校,1
摂陽中学校,1
今宮中学校,2
九条南小学校,****
茨田北小学校,3
南港中央公園,4
出来島小学校,1
少林寺,7
浜寺,15
三宝,3
若松台,9
石津,7
登美丘,26
深井,8
美原,14
金岡南,20
高石消防署高師浜出張所,3
豊中市千成,2
豊中市千里,4
豊中市役所,2
吹田市垂水,2
吹田市北消防署,2
吹田市高野台,1
東大阪市西保健センター,6
東大阪市六万寺,18
東大阪市環境衛生検査センター,3
楠葉,2
枚方市役所,0
王仁公園,****
高槻北,****
庄所,1
八尾市保健所,16
成田,
寝屋川市役所,1
