局名,ppb
西部コミュニティセンター,4
国設大阪,9
茨木市役所,0
高石中学校,2
池田市立南畑会館,32
大東市役所,1
府立修徳学院,5
貝塚市消防署,8
島本町役場,2
富田林市役所,5
南海団地,21
泉南市役所,23
緑ケ丘小学校,0
三日市公民館,10
藤井寺市役所,1
岸和田中央公園,5
佐野中学校,18
泉大津市役所,6
豊能町役場,36
此花区役所,9
平尾小学校,5
野中小学校,6
桃谷中学校,6
大宮中学校,7
聖賢小学校,5
清江小学校,1
摂陽中学校,1
今宮中学校,12
九条南小学校,8
茨田北小学校,3
南港中央公園,4
出来島小学校,7
少林寺,1
浜寺,1
三宝,1
若松台,4
石津,1
登美丘,1
深井,0
美原,0
金岡南,3
高石消防署高師浜出張所,3
豊中市千成,6
豊中市千里,****
豊中市役所,8
吹田市垂水,4
吹田市北消防署,6
吹田市高野台,2
東大阪市西保健センター,2
東大阪市六万寺,6
東大阪市環境衛生検査センター,2
楠葉,1
枚方市役所,0
王仁公園,0
高槻北,****
庄所,2
八尾市保健所,1
成田,
寝屋川市役所,1
