局名,ppb
西部コミュニティセンター,12
国設大阪,9
茨木市役所,10
高石中学校,10
池田市立南畑会館,26
大東市役所,16
府立修徳学院,10
貝塚市消防署,12
島本町役場,16
富田林市役所,13
南海団地,44
泉南市役所,47
緑ケ丘小学校,21
三日市公民館,23
藤井寺市役所,14
岸和田中央公園,10
佐野中学校,39
泉大津市役所,12
豊能町役場,16
此花区役所,7
平尾小学校,7
野中小学校,9
桃谷中学校,9
大宮中学校,9
聖賢小学校,11
清江小学校,5
摂陽中学校,6
今宮中学校,7
九条南小学校,5
茨田北小学校,9
南港中央公園,7
出来島小学校,6
少林寺,10
浜寺,13
三宝,7
若松台,19
石津,9
登美丘,12
深井,11
美原,12
金岡南,16
高石消防署高師浜出張所,10
豊中市千成,8
豊中市千里,19
豊中市役所,13
吹田市垂水,7
吹田市北消防署,15
吹田市高野台,8
東大阪市西保健センター,7
東大阪市六万寺,27
東大阪市環境衛生検査センター,0
楠葉,14
枚方市役所,11
王仁公園,****
高槻北,****
庄所,15
八尾市保健所,9
成田,
寝屋川市役所,7
