局名,ppb
西部コミュニティセンター,16
国設大阪,12
茨木市役所,2
高石中学校,8
池田市立南畑会館,10
大東市役所,5
府立修徳学院,11
貝塚市消防署,15
島本町役場,2
富田林市役所,18
南海団地,34
泉南市役所,22
緑ケ丘小学校,14
三日市公民館,10
藤井寺市役所,11
岸和田中央公園,11
佐野中学校,11
泉大津市役所,12
豊能町役場,5
此花区役所,16
平尾小学校,14
野中小学校,22
桃谷中学校,9
大宮中学校,14
聖賢小学校,12
清江小学校,7
摂陽中学校,12
今宮中学校,11
九条南小学校,10
茨田北小学校,15
南港中央公園,20
出来島小学校,9
少林寺,14
浜寺,14
三宝,6
若松台,13
石津,17
登美丘,13
深井,4
美原,3
金岡南,12
高石消防署高師浜出張所,9
豊中市千成,24
豊中市千里,6
豊中市役所,14
吹田市垂水,19
吹田市北消防署,8
吹田市高野台,13
東大阪市西保健センター,4
東大阪市六万寺,18
東大阪市環境衛生検査センター,4
楠葉,4
枚方市役所,3
王仁公園,8
高槻北,****
庄所,3
八尾市保健所,11
成田,
寝屋川市役所,2
