局名,ppb
西部コミュニティセンター,1
国設大阪,8
茨木市役所,1
高石中学校,7
池田市立南畑会館,6
大東市役所,2
府立修徳学院,16
貝塚市消防署,11
島本町役場,2
富田林市役所,11
南海団地,27
泉南市役所,19
緑ケ丘小学校,9
三日市公民館,14
藤井寺市役所,11
岸和田中央公園,8
佐野中学校,12
泉大津市役所,6
豊能町役場,3
此花区役所,4
平尾小学校,6
野中小学校,3
桃谷中学校,4
大宮中学校,1
聖賢小学校,3
清江小学校,8
摂陽中学校,6
今宮中学校,7
九条南小学校,3
茨田北小学校,3
南港中央公園,3
出来島小学校,1
少林寺,4
浜寺,5
三宝,5
若松台,14
石津,4
登美丘,11
深井,7
美原,8
金岡南,5
高石消防署高師浜出張所,5
豊中市千成,1
豊中市千里,1
豊中市役所,-1
吹田市垂水,1
吹田市北消防署,3
吹田市高野台,1
東大阪市西保健センター,3
東大阪市六万寺,12
東大阪市環境衛生検査センター,1
楠葉,1
枚方市役所,1
王仁公園,5
高槻北,****
庄所,0
八尾市保健所,3
成田,
寝屋川市役所,1
