局名,ppb
西部コミュニティセンター,1
国設大阪,0
茨木市役所,2
高石中学校,3
池田市立南畑会館,6
大東市役所,2
府立修徳学院,14
貝塚市消防署,8
島本町役場,3
富田林市役所,13
南海団地,35
泉南市役所,21
緑ケ丘小学校,14
三日市公民館,10
藤井寺市役所,4
岸和田中央公園,5
佐野中学校,12
泉大津市役所,7
豊能町役場,5
此花区役所,3
平尾小学校,1
野中小学校,2
桃谷中学校,2
大宮中学校,1
聖賢小学校,0
清江小学校,6
摂陽中学校,1
今宮中学校,2
九条南小学校,1
茨田北小学校,2
南港中央公園,1
出来島小学校,0
少林寺,3
浜寺,3
三宝,5
若松台,18
石津,1
登美丘,7
深井,2
美原,1
金岡南,2
高石消防署高師浜出張所,4
豊中市千成,2
豊中市千里,17
豊中市役所,3
吹田市垂水,5
吹田市北消防署,11
吹田市高野台,2
東大阪市西保健センター,2
東大阪市六万寺,11
東大阪市環境衛生検査センター,0
楠葉,1
枚方市役所,3
王仁公園,5
高槻北,****
庄所,6
八尾市保健所,0
成田,
寝屋川市役所,3
