局名,ppb
西部コミュニティセンター,6
国設大阪,6
茨木市役所,6
高石中学校,2
池田市立南畑会館,16
大東市役所,10
府立修徳学院,14
貝塚市消防署,0
島本町役場,8
富田林市役所,7
南海団地,14
泉南市役所,7
緑ケ丘小学校,6
三日市公民館,5
藤井寺市役所,4
岸和田中央公園,1
佐野中学校,1
泉大津市役所,1
豊能町役場,19
此花区役所,9
平尾小学校,5
野中小学校,10
桃谷中学校,8
大宮中学校,5
聖賢小学校,8
清江小学校,6
摂陽中学校,5
今宮中学校,5
九条南小学校,6
茨田北小学校,9
南港中央公園,7
出来島小学校,10
少林寺,4
浜寺,3
三宝,5
若松台,6
石津,2
登美丘,1
深井,1
美原,0
金岡南,5
高石消防署高師浜出張所,1
豊中市千成,****
豊中市千里,2
豊中市役所,0
吹田市垂水,7
吹田市北消防署,2
吹田市高野台,1
東大阪市西保健センター,7
東大阪市六万寺,7
東大阪市環境衛生検査センター,6
楠葉,5
枚方市役所,6
王仁公園,6
高槻北,****
庄所,8
八尾市保健所,6
成田,
寝屋川市役所,5
