局名,ppb
西部コミュニティセンター,9
国設大阪,14
茨木市役所,6
高石中学校,3
池田市立南畑会館,22
大東市役所,22
府立修徳学院,18
貝塚市消防署,16
島本町役場,0
富田林市役所,10
南海団地,26
泉南市役所,19
緑ケ丘小学校,17
三日市公民館,13
藤井寺市役所,4
岸和田中央公園,11
佐野中学校,16
泉大津市役所,13
豊能町役場,29
此花区役所,5
平尾小学校,6
野中小学校,13
桃谷中学校,7
大宮中学校,8
聖賢小学校,10
清江小学校,7
摂陽中学校,5
今宮中学校,8
九条南小学校,****
茨田北小学校,5
南港中央公園,5
出来島小学校,12
少林寺,5
浜寺,10
三宝,10
若松台,5
石津,6
登美丘,9
深井,4
美原,3
金岡南,8
高石消防署高師浜出張所,5
豊中市千成,12
豊中市千里,11
豊中市役所,18
吹田市垂水,4
吹田市北消防署,12
吹田市高野台,7
東大阪市西保健センター,10
東大阪市六万寺,22
東大阪市環境衛生検査センター,6
楠葉,0
枚方市役所,0
王仁公園,****
高槻北,****
庄所,1
八尾市保健所,12
成田,
寝屋川市役所,10
