局名,ppb
西部コミュニティセンター,3
国設大阪,1
茨木市役所,1
高石中学校,12
池田市立南畑会館,5
大東市役所,1
府立修徳学院,13
貝塚市消防署,21
島本町役場,0
富田林市役所,15
南海団地,27
泉南市役所,24
緑ケ丘小学校,18
三日市公民館,14
藤井寺市役所,11
岸和田中央公園,15
佐野中学校,16
泉大津市役所,16
豊能町役場,4
此花区役所,****
平尾小学校,7
野中小学校,2
桃谷中学校,4
大宮中学校,****
聖賢小学校,****
清江小学校,6
摂陽中学校,****
今宮中学校,8
九条南小学校,****
茨田北小学校,****
南港中央公園,3
出来島小学校,1
少林寺,4
浜寺,9
三宝,7
若松台,19
石津,5
登美丘,15
深井,6
美原,10
金岡南,4
高石消防署高師浜出張所,10
豊中市千成,1
豊中市千里,1
豊中市役所,-1
吹田市垂水,1
吹田市北消防署,1
吹田市高野台,1
東大阪市西保健センター,2
東大阪市六万寺,4
東大阪市環境衛生検査センター,0
楠葉,1
枚方市役所,1
王仁公園,7
高槻北,****
庄所,0
八尾市保健所,1
成田,
寝屋川市役所,1
