局名,ppb
西部コミュニティセンター,3
国設大阪,2
茨木市役所,2
高石中学校,4
池田市立南畑会館,34
大東市役所,3
府立修徳学院,5
貝塚市消防署,13
島本町役場,2
富田林市役所,10
南海団地,25
泉南市役所,13
緑ケ丘小学校,11
三日市公民館,7
藤井寺市役所,4
岸和田中央公園,12
佐野中学校,9
泉大津市役所,7
豊能町役場,25
此花区役所,2
平尾小学校,1
野中小学校,3
桃谷中学校,4
大宮中学校,2
聖賢小学校,2
清江小学校,3
摂陽中学校,1
今宮中学校,2
九条南小学校,1
茨田北小学校,3
南港中央公園,1
出来島小学校,2
少林寺,****
浜寺,8
三宝,3
若松台,4
石津,4
登美丘,10
深井,7
美原,3
金岡南,3
高石消防署高師浜出張所,4
豊中市千成,3
豊中市千里,10
豊中市役所,13
吹田市垂水,3
吹田市北消防署,3
吹田市高野台,2
東大阪市西保健センター,5
東大阪市六万寺,3
東大阪市環境衛生検査センター,1
楠葉,4
枚方市役所,2
王仁公園,****
高槻北,****
庄所,2
八尾市保健所,3
成田,
寝屋川市役所,2
