局名,ppb
西部コミュニティセンター,1
国設大阪,9
茨木市役所,1
高石中学校,1
池田市立南畑会館,12
大東市役所,9
府立修徳学院,11
貝塚市消防署,18
島本町役場,2
富田林市役所,16
南海団地,29
泉南市役所,23
緑ケ丘小学校,14
三日市公民館,14
藤井寺市役所,11
岸和田中央公園,16
佐野中学校,17
泉大津市役所,12
豊能町役場,5
此花区役所,7
平尾小学校,10
野中小学校,7
桃谷中学校,7
大宮中学校,4
聖賢小学校,6
清江小学校,10
摂陽中学校,5
今宮中学校,12
九条南小学校,7
茨田北小学校,5
南港中央公園,6
出来島小学校,1
少林寺,6
浜寺,10
三宝,8
若松台,15
石津,9
登美丘,13
深井,13
美原,5
金岡南,13
高石消防署高師浜出張所,7
豊中市千成,3
豊中市千里,1
豊中市役所,0
吹田市垂水,9
吹田市北消防署,2
吹田市高野台,1
東大阪市西保健センター,6
東大阪市六万寺,12
東大阪市環境衛生検査センター,3
楠葉,3
枚方市役所,1
王仁公園,3
高槻北,****
庄所,0
八尾市保健所,8
成田,
寝屋川市役所,2
