局名,ppb
西部コミュニティセンター,6
国設大阪,1
茨木市役所,0
高石中学校,4
池田市立南畑会館,30
大東市役所,1
府立修徳学院,5
貝塚市消防署,7
島本町役場,1
富田林市役所,14
南海団地,18
泉南市役所,8
緑ケ丘小学校,2
三日市公民館,15
藤井寺市役所,3
岸和田中央公園,7
佐野中学校,5
泉大津市役所,5
豊能町役場,32
此花区役所,2
平尾小学校,2
野中小学校,7
桃谷中学校,2
大宮中学校,4
聖賢小学校,6
清江小学校,1
摂陽中学校,0
今宮中学校,1
九条南小学校,1
茨田北小学校,4
南港中央公園,2
出来島小学校,2
少林寺,1
浜寺,2
三宝,1
若松台,12
石津,1
登美丘,5
深井,1
美原,2
金岡南,2
高石消防署高師浜出張所,3
豊中市千成,8
豊中市千里,****
豊中市役所,14
吹田市垂水,5
吹田市北消防署,3
吹田市高野台,4
東大阪市西保健センター,2
東大阪市六万寺,3
東大阪市環境衛生検査センター,1
楠葉,1
枚方市役所,0
王仁公園,1
高槻北,****
庄所,3
八尾市保健所,4
成田,
寝屋川市役所,1
