局名,ppb
西部コミュニティセンター,12
国設大阪,6
茨木市役所,10
高石中学校,11
池田市立南畑会館,6
大東市役所,18
府立修徳学院,16
貝塚市消防署,12
島本町役場,8
富田林市役所,11
南海団地,14
泉南市役所,11
緑ケ丘小学校,12
三日市公民館,12
藤井寺市役所,10
岸和田中央公園,11
佐野中学校,9
泉大津市役所,13
豊能町役場,10
此花区役所,4
平尾小学校,2
野中小学校,5
桃谷中学校,4
大宮中学校,8
聖賢小学校,4
清江小学校,5
摂陽中学校,2
今宮中学校,2
九条南小学校,****
茨田北小学校,11
南港中央公園,3
出来島小学校,3
少林寺,11
浜寺,12
三宝,12
若松台,5
石津,14
登美丘,11
深井,13
美原,11
金岡南,13
高石消防署高師浜出張所,11
豊中市千成,5
豊中市千里,3
豊中市役所,2
吹田市垂水,7
吹田市北消防署,4
吹田市高野台,4
東大阪市西保健センター,3
東大阪市六万寺,6
東大阪市環境衛生検査センター,2
楠葉,16
枚方市役所,14
王仁公園,****
高槻北,****
庄所,15
八尾市保健所,1
成田,
寝屋川市役所,15
