局名,ppb
西部コミュニティセンター,18
国設大阪,23
茨木市役所,25
高石中学校,7
池田市立南畑会館,35
大東市役所,1
府立修徳学院,3
貝塚市消防署,6
島本町役場,8
富田林市役所,5
南海団地,22
泉南市役所,7
緑ケ丘小学校,0
三日市公民館,7
藤井寺市役所,2
岸和田中央公園,1
佐野中学校,2
泉大津市役所,7
豊能町役場,39
此花区役所,20
平尾小学校,16
野中小学校,26
桃谷中学校,19
大宮中学校,29
聖賢小学校,23
清江小学校,6
摂陽中学校,1
今宮中学校,15
九条南小学校,23
茨田北小学校,3
南港中央公園,11
出来島小学校,18
少林寺,6
浜寺,3
三宝,8
若松台,8
石津,3
登美丘,2
深井,0
美原,0
金岡南,2
高石消防署高師浜出張所,2
豊中市千成,21
豊中市千里,****
豊中市役所,26
吹田市垂水,16
吹田市北消防署,24
吹田市高野台,11
東大阪市西保健センター,1
東大阪市六万寺,9
東大阪市環境衛生検査センター,1
楠葉,1
枚方市役所,0
王仁公園,1
高槻北,****
庄所,4
八尾市保健所,1
成田,
寝屋川市役所,1
