局名,ppb
西部コミュニティセンター,63
国設大阪,61
茨木市役所,52
高石中学校,59
池田市立南畑会館,59
大東市役所,56
府立修徳学院,40
貝塚市消防署,58
島本町役場,50
富田林市役所,49
南海団地,60
泉南市役所,69
緑ケ丘小学校,64
三日市公民館,48
藤井寺市役所,55
岸和田中央公園,62
佐野中学校,70
泉大津市役所,56
豊能町役場,43
此花区役所,54
平尾小学校,57
野中小学校,61
桃谷中学校,61
大宮中学校,65
聖賢小学校,65
清江小学校,61
摂陽中学校,63
今宮中学校,65
九条南小学校,60
茨田北小学校,64
南港中央公園,56
出来島小学校,45
少林寺,65
浜寺,67
三宝,63
若松台,63
石津,60
登美丘,71
深井,73
美原,51
金岡南,71
高石消防署高師浜出張所,57
豊中市千成,65
豊中市千里,55
豊中市役所,65
吹田市垂水,68
吹田市北消防署,62
吹田市高野台,64
東大阪市西保健センター,66
東大阪市六万寺,56
東大阪市環境衛生検査センター,62
楠葉,53
枚方市役所,61
王仁公園,50
高槻北,52
庄所,57
八尾市保健所,62
成田,
寝屋川市役所,51
