局名,ppb
西部コミュニティセンター,69
国設大阪,52
茨木市役所,57
高石中学校,****
池田市立南畑会館,68
大東市役所,72
府立修徳学院,59
貝塚市消防署,66
島本町役場,61
富田林市役所,67
南海団地,48
泉南市役所,59
緑ケ丘小学校,78
三日市公民館,60
藤井寺市役所,71
岸和田中央公園,71
佐野中学校,57
泉大津市役所,53
豊能町役場,46
此花区役所,50
平尾小学校,43
野中小学校,64
桃谷中学校,60
大宮中学校,74
聖賢小学校,68
清江小学校,44
摂陽中学校,62
今宮中学校,50
九条南小学校,46
茨田北小学校,75
南港中央公園,48
出来島小学校,41
少林寺,68
浜寺,82
三宝,62
若松台,76
石津,76
登美丘,83
深井,91
美原,56
金岡南,83
高石消防署高師浜出張所,58
豊中市千成,65
豊中市千里,61
豊中市役所,70
吹田市垂水,72
吹田市北消防署,69
吹田市高野台,69
東大阪市西保健センター,79
東大阪市六万寺,88
東大阪市環境衛生検査センター,77
楠葉,61
枚方市役所,67
王仁公園,62
高槻北,****
庄所,66
八尾市保健所,87
成田,
寝屋川市役所,59
