局名,ppb
西部コミュニティセンター,48
国設大阪,51
茨木市役所,50
高石中学校,56
池田市立南畑会館,51
大東市役所,49
府立修徳学院,47
貝塚市消防署,55
島本町役場,48
富田林市役所,60
南海団地,43
泉南市役所,54
緑ケ丘小学校,62
三日市公民館,59
藤井寺市役所,51
岸和田中央公園,57
佐野中学校,54
泉大津市役所,57
豊能町役場,46
此花区役所,48
平尾小学校,52
野中小学校,50
桃谷中学校,42
大宮中学校,46
聖賢小学校,49
清江小学校,42
摂陽中学校,49
今宮中学校,53
九条南小学校,50
茨田北小学校,50
南港中央公園,38
出来島小学校,49
少林寺,59
浜寺,61
三宝,41
若松台,59
石津,61
登美丘,60
深井,57
美原,47
金岡南,53
高石消防署高師浜出張所,49
豊中市千成,51
豊中市千里,46
豊中市役所,48
吹田市垂水,
吹田市北消防署,
吹田市高野台,
東大阪市西保健センター,51
東大阪市六万寺,49
東大阪市環境衛生検査センター,44
楠葉,47
枚方市役所,51
王仁公園,49
高槻北,44
庄所,51
八尾市保健所,49
成田,
寝屋川市役所,44
