局名,ppb
西部コミュニティセンター,43
国設大阪,50
茨木市役所,47
高石中学校,53
池田市立南畑会館,48
大東市役所,50
府立修徳学院,44
貝塚市消防署,47
島本町役場,46
富田林市役所,51
南海団地,41
泉南市役所,46
緑ケ丘小学校,53
三日市公民館,49
藤井寺市役所,48
岸和田中央公園,47
佐野中学校,39
泉大津市役所,****
豊能町役場,45
此花区役所,41
平尾小学校,48
野中小学校,51
桃谷中学校,53
大宮中学校,52
聖賢小学校,50
清江小学校,46
摂陽中学校,51
今宮中学校,50
九条南小学校,42
茨田北小学校,51
南港中央公園,34
出来島小学校,40
少林寺,52
浜寺,56
三宝,57
若松台,54
石津,53
登美丘,53
深井,56
美原,36
金岡南,55
高石消防署高師浜出張所,48
豊中市千成,47
豊中市千里,38
豊中市役所,45
吹田市垂水,49
吹田市北消防署,47
吹田市高野台,48
東大阪市西保健センター,58
東大阪市六万寺,****
東大阪市環境衛生検査センター,51
楠葉,43
枚方市役所,51
王仁公園,****
高槻北,****
庄所,51
八尾市保健所,55
成田,
寝屋川市役所,42
