局名,ppb
西部コミュニティセンター,85
国設大阪,71
茨木市役所,68
高石中学校,50
池田市立南畑会館,88
大東市役所,68
府立修徳学院,53
貝塚市消防署,60
島本町役場,66
富田林市役所,69
南海団地,52
泉南市役所,59
緑ケ丘小学校,59
三日市公民館,73
藤井寺市役所,58
岸和田中央公園,****
佐野中学校,49
泉大津市役所,53
豊能町役場,68
此花区役所,56
平尾小学校,51
野中小学校,75
桃谷中学校,63
大宮中学校,89
聖賢小学校,80
清江小学校,47
摂陽中学校,50
今宮中学校,60
九条南小学校,53
茨田北小学校,66
南港中央公園,47
出来島小学校,29
少林寺,60
浜寺,58
三宝,49
若松台,63
石津,59
登美丘,57
深井,58
美原,45
金岡南,55
高石消防署高師浜出張所,45
豊中市千成,77
豊中市千里,79
豊中市役所,84
吹田市垂水,85
吹田市北消防署,92
吹田市高野台,91
東大阪市西保健センター,66
東大阪市六万寺,61
東大阪市環境衛生検査センター,59
楠葉,78
枚方市役所,****
王仁公園,83
高槻北,****
庄所,88
八尾市保健所,56
成田,
寝屋川市役所,62
