局名,ppb
西部コミュニティセンター,71
国設大阪,51
茨木市役所,58
高石中学校,61
池田市立南畑会館,68
大東市役所,43
府立修徳学院,51
貝塚市消防署,64
島本町役場,42
富田林市役所,90
南海団地,51
泉南市役所,64
緑ケ丘小学校,71
三日市公民館,74
藤井寺市役所,71
岸和田中央公園,69
佐野中学校,68
泉大津市役所,60
豊能町役場,57
此花区役所,55
平尾小学校,51
野中小学校,62
桃谷中学校,60
大宮中学校,71
聖賢小学校,64
清江小学校,51
摂陽中学校,53
今宮中学校,55
九条南小学校,52
茨田北小学校,78
南港中央公園,43
出来島小学校,38
少林寺,64
浜寺,61
三宝,57
若松台,77
石津,56
登美丘,74
深井,71
美原,65
金岡南,77
高石消防署高師浜出張所,51
豊中市千成,59
豊中市千里,61
豊中市役所,62
吹田市垂水,64
吹田市北消防署,69
吹田市高野台,67
東大阪市西保健センター,65
東大阪市六万寺,58
東大阪市環境衛生検査センター,68
楠葉,40
枚方市役所,40
王仁公園,35
高槻北,57
庄所,46
八尾市保健所,66
成田,
寝屋川市役所,34
