局名,ppb
西部コミュニティセンター,57
国設大阪,46
茨木市役所,53
高石中学校,60
池田市立南畑会館,66
大東市役所,55
府立修徳学院,47
貝塚市消防署,63
島本町役場,78
富田林市役所,58
南海団地,55
泉南市役所,62
緑ケ丘小学校,63
三日市公民館,57
藤井寺市役所,56
岸和田中央公園,64
佐野中学校,58
泉大津市役所,61
豊能町役場,65
此花区役所,42
平尾小学校,54
野中小学校,57
桃谷中学校,52
大宮中学校,59
聖賢小学校,55
清江小学校,55
摂陽中学校,48
今宮中学校,54
九条南小学校,46
茨田北小学校,55
南港中央公園,57
出来島小学校,33
少林寺,67
浜寺,61
三宝,57
若松台,63
石津,63
登美丘,61
深井,63
美原,45
金岡南,56
高石消防署高師浜出張所,53
豊中市千成,57
豊中市千里,58
豊中市役所,58
吹田市垂水,60
吹田市北消防署,65
吹田市高野台,62
東大阪市西保健センター,58
東大阪市六万寺,56
東大阪市環境衛生検査センター,53
楠葉,85
枚方市役所,77
王仁公園,73
高槻北,73
庄所,76
八尾市保健所,56
成田,
寝屋川市役所,61
