局名,ppb
西部コミュニティセンター,63
国設大阪,58
茨木市役所,59
高石中学校,57
池田市立南畑会館,57
大東市役所,60
府立修徳学院,48
貝塚市消防署,55
島本町役場,35
富田林市役所,58
南海団地,53
泉南市役所,58
緑ケ丘小学校,61
三日市公民館,54
藤井寺市役所,56
岸和田中央公園,60
佐野中学校,62
泉大津市役所,57
豊能町役場,36
此花区役所,57
平尾小学校,54
野中小学校,62
桃谷中学校,54
大宮中学校,64
聖賢小学校,62
清江小学校,58
摂陽中学校,57
今宮中学校,59
九条南小学校,59
茨田北小学校,64
南港中央公園,43
出来島小学校,36
少林寺,62
浜寺,62
三宝,59
若松台,60
石津,58
登美丘,62
深井,62
美原,49
金岡南,61
高石消防署高師浜出張所,53
豊中市千成,63
豊中市千里,60
豊中市役所,64
吹田市垂水,66
吹田市北消防署,65
吹田市高野台,67
東大阪市西保健センター,58
東大阪市六万寺,55
東大阪市環境衛生検査センター,56
楠葉,46
枚方市役所,75
王仁公園,63
高槻北,48
庄所,57
八尾市保健所,54
成田,
寝屋川市役所,61
