局名,ppb
西部コミュニティセンター,51
国設大阪,49
茨木市役所,52
高石中学校,53
池田市立南畑会館,57
大東市役所,51
府立修徳学院,45
貝塚市消防署,61
島本町役場,52
富田林市役所,46
南海団地,79
泉南市役所,82
緑ケ丘小学校,72
三日市公民館,46
藤井寺市役所,45
岸和田中央公園,58
佐野中学校,72
泉大津市役所,55
豊能町役場,60
此花区役所,42
平尾小学校,49
野中小学校,53
桃谷中学校,41
大宮中学校,51
聖賢小学校,49
清江小学校,49
摂陽中学校,44
今宮中学校,****
九条南小学校,47
茨田北小学校,51
南港中央公園,38
出来島小学校,44
少林寺,52
浜寺,57
三宝,****
若松台,53
石津,51
登美丘,52
深井,55
美原,34
金岡南,52
高石消防署高師浜出張所,54
豊中市千成,54
豊中市千里,50
豊中市役所,54
吹田市垂水,55
吹田市北消防署,56
吹田市高野台,55
東大阪市西保健センター,52
東大阪市六万寺,47
東大阪市環境衛生検査センター,39
楠葉,50
枚方市役所,55
王仁公園,50
高槻北,52
庄所,56
八尾市保健所,46
成田,
寝屋川市役所,45
