局名,ppb
西部コミュニティセンター,83
国設大阪,81
茨木市役所,75
高石中学校,77
池田市立南畑会館,79
大東市役所,83
府立修徳学院,64
貝塚市消防署,72
島本町役場,79
富田林市役所,78
南海団地,71
泉南市役所,75
緑ケ丘小学校,75
三日市公民館,73
藤井寺市役所,79
岸和田中央公園,80
佐野中学校,75
泉大津市役所,75
豊能町役場,74
此花区役所,75
平尾小学校,77
野中小学校,79
桃谷中学校,66
大宮中学校,82
聖賢小学校,81
清江小学校,75
摂陽中学校,77
今宮中学校,81
九条南小学校,77
茨田北小学校,85
南港中央公園,74
出来島小学校,57
少林寺,81
浜寺,83
三宝,74
若松台,78
石津,74
登美丘,82
深井,83
美原,68
金岡南,81
高石消防署高師浜出張所,71
豊中市千成,81
豊中市千里,75
豊中市役所,79
吹田市垂水,81
吹田市北消防署,83
吹田市高野台,83
東大阪市西保健センター,82
東大阪市六万寺,82
東大阪市環境衛生検査センター,80
楠葉,86
枚方市役所,89
王仁公園,80
高槻北,79
庄所,86
八尾市保健所,83
成田,
寝屋川市役所,79
