局名,ppb
西部コミュニティセンター,****
国設大阪,48
茨木市役所,41
高石中学校,45
池田市立南畑会館,41
大東市役所,50
府立修徳学院,46
貝塚市消防署,50
島本町役場,40
富田林市役所,66
南海団地,51
泉南市役所,56
緑ケ丘小学校,75
三日市公民館,63
藤井寺市役所,61
岸和田中央公園,51
佐野中学校,52
泉大津市役所,43
豊能町役場,41
此花区役所,44
平尾小学校,48
野中小学校,47
桃谷中学校,48
大宮中学校,49
聖賢小学校,48
清江小学校,47
摂陽中学校,47
今宮中学校,50
九条南小学校,47
茨田北小学校,49
南港中央公園,39
出来島小学校,36
少林寺,55
浜寺,54
三宝,54
若松台,76
石津,****
登美丘,69
深井,69
美原,52
金岡南,63
高石消防署高師浜出張所,40
豊中市千成,45
豊中市千里,37
豊中市役所,40
吹田市垂水,46
吹田市北消防署,42
吹田市高野台,43
東大阪市西保健センター,54
東大阪市六万寺,55
東大阪市環境衛生検査センター,51
楠葉,46
枚方市役所,48
王仁公園,46
高槻北,42
庄所,****
八尾市保健所,59
成田,
寝屋川市役所,43
