局名,ppb
西部コミュニティセンター,8
国設大阪,11
茨木市役所,11
高石中学校,12
池田市立南畑会館,19
大東市役所,17
府立修徳学院,18
貝塚市消防署,12
島本町役場,11
富田林市役所,10
南海団地,25
泉南市役所,15
緑ケ丘小学校,13
三日市公民館,11
藤井寺市役所,8
岸和田中央公園,13
佐野中学校,9
泉大津市役所,13
豊能町役場,5
此花区役所,10
平尾小学校,12
野中小学校,16
桃谷中学校,13
大宮中学校,9
聖賢小学校,13
清江小学校,9
摂陽中学校,7
今宮中学校,13
九条南小学校,12
茨田北小学校,9
南港中央公園,2
出来島小学校,11
少林寺,12
浜寺,17
三宝,10
若松台,17
石津,14
登美丘,11
深井,13
美原,10
金岡南,13
高石消防署高師浜出張所,15
豊中市千成,14
豊中市千里,14
豊中市役所,23
吹田市垂水,12
吹田市北消防署,15
吹田市高野台,10
東大阪市西保健センター,12
東大阪市六万寺,18
東大阪市環境衛生検査センター,7
楠葉,5
枚方市役所,8
王仁公園,6
高槻北,****
庄所,12
八尾市保健所,5
成田,
寝屋川市役所,10
