局名,ppb
西部コミュニティセンター,53
国設大阪,48
茨木市役所,37
高石中学校,54
池田市立南畑会館,44
大東市役所,62
府立修徳学院,62
貝塚市消防署,56
島本町役場,50
富田林市役所,82
南海団地,47
泉南市役所,60
緑ケ丘小学校,74
三日市公民館,82
藤井寺市役所,72
岸和田中央公園,61
佐野中学校,56
泉大津市役所,52
豊能町役場,53
此花区役所,47
平尾小学校,45
野中小学校,46
桃谷中学校,57
大宮中学校,53
聖賢小学校,55
清江小学校,44
摂陽中学校,57
今宮中学校,46
九条南小学校,47
茨田北小学校,60
南港中央公園,46
出来島小学校,37
少林寺,60
浜寺,59
三宝,50
若松台,85
石津,49
登美丘,76
深井,78
美原,57
金岡南,67
高石消防署高師浜出張所,47
豊中市千成,44
豊中市千里,41
豊中市役所,37
吹田市垂水,47
吹田市北消防署,51
吹田市高野台,51
東大阪市西保健センター,64
東大阪市六万寺,63
東大阪市環境衛生検査センター,64
楠葉,61
枚方市役所,61
王仁公園,70
高槻北,55
庄所,62
八尾市保健所,66
成田,
寝屋川市役所,58
