局名,ppb
西部コミュニティセンター,1
国設大阪,1
茨木市役所,8
高石中学校,12
池田市立南畑会館,17
大東市役所,2
府立修徳学院,13
貝塚市消防署,9
島本町役場,4
富田林市役所,12
南海団地,18
泉南市役所,15
緑ケ丘小学校,15
三日市公民館,10
藤井寺市役所,10
岸和田中央公園,10
佐野中学校,13
泉大津市役所,10
豊能町役場,3
此花区役所,5
平尾小学校,7
野中小学校,2
桃谷中学校,4
大宮中学校,2
聖賢小学校,2
清江小学校,****
摂陽中学校,5
今宮中学校,****
九条南小学校,2
茨田北小学校,4
南港中央公園,****
出来島小学校,****
少林寺,12
浜寺,11
三宝,12
若松台,18
石津,9
登美丘,18
深井,11
美原,9
金岡南,11
高石消防署高師浜出張所,12
豊中市千成,2
豊中市千里,4
豊中市役所,4
吹田市垂水,7
吹田市北消防署,11
吹田市高野台,****
東大阪市西保健センター,4
東大阪市六万寺,16
東大阪市環境衛生検査センター,0
楠葉,1
枚方市役所,2
王仁公園,8
高槻北,****
庄所,1
八尾市保健所,3
成田,
寝屋川市役所,1
