局名,ppb
西部コミュニティセンター,1
国設大阪,4
茨木市役所,1
高石中学校,3
池田市立南畑会館,16
大東市役所,3
府立修徳学院,11
貝塚市消防署,11
島本町役場,0
富田林市役所,6
南海団地,29
泉南市役所,17
緑ケ丘小学校,13
三日市公民館,7
藤井寺市役所,8
岸和田中央公園,8
佐野中学校,14
泉大津市役所,13
豊能町役場,4
此花区役所,2
平尾小学校,3
野中小学校,6
桃谷中学校,3
大宮中学校,2
聖賢小学校,3
清江小学校,2
摂陽中学校,0
今宮中学校,4
九条南小学校,5
茨田北小学校,3
南港中央公園,1
出来島小学校,3
少林寺,6
浜寺,10
三宝,6
若松台,16
石津,8
登美丘,13
深井,3
美原,6
金岡南,8
高石消防署高師浜出張所,5
豊中市千成,3
豊中市千里,10
豊中市役所,10
吹田市垂水,****
吹田市北消防署,6
吹田市高野台,1
東大阪市西保健センター,1
東大阪市六万寺,11
東大阪市環境衛生検査センター,0
楠葉,1
枚方市役所,0
王仁公園,1
高槻北,****
庄所,1
八尾市保健所,1
成田,
寝屋川市役所,3
