局名,ppb
西部コミュニティセンター,71
国設大阪,59
茨木市役所,60
高石中学校,62
池田市立南畑会館,79
大東市役所,66
府立修徳学院,45
貝塚市消防署,67
島本町役場,55
富田林市役所,74
南海団地,69
泉南市役所,69
緑ケ丘小学校,73
三日市公民館,76
藤井寺市役所,69
岸和田中央公園,73
佐野中学校,68
泉大津市役所,63
豊能町役場,64
此花区役所,59
平尾小学校,57
野中小学校,72
桃谷中学校,61
大宮中学校,73
聖賢小学校,69
清江小学校,54
摂陽中学校,57
今宮中学校,56
九条南小学校,52
茨田北小学校,65
南港中央公園,51
出来島小学校,44
少林寺,66
浜寺,64
三宝,56
若松台,77
石津,55
登美丘,75
深井,74
美原,52
金岡南,70
高石消防署高師浜出張所,52
豊中市千成,72
豊中市千里,61
豊中市役所,70
吹田市垂水,73
吹田市北消防署,68
吹田市高野台,69
東大阪市西保健センター,69
東大阪市六万寺,54
東大阪市環境衛生検査センター,68
楠葉,50
枚方市役所,61
王仁公園,52
高槻北,****
庄所,67
八尾市保健所,68
成田,
寝屋川市役所,57
