局名,ppb
西部コミュニティセンター,61
国設大阪,45
茨木市役所,57
高石中学校,53
池田市立南畑会館,46
大東市役所,75
府立修徳学院,52
貝塚市消防署,61
島本町役場,****
富田林市役所,66
南海団地,66
泉南市役所,72
緑ケ丘小学校,67
三日市公民館,74
藤井寺市役所,62
岸和田中央公園,64
佐野中学校,66
泉大津市役所,49
豊能町役場,56
此花区役所,50
平尾小学校,42
野中小学校,51
桃谷中学校,50
大宮中学校,58
聖賢小学校,57
清江小学校,34
摂陽中学校,40
今宮中学校,40
九条南小学校,41
茨田北小学校,76
南港中央公園,45
出来島小学校,35
少林寺,51
浜寺,56
三宝,45
若松台,63
石津,51
登美丘,62
深井,59
美原,43
金岡南,57
高石消防署高師浜出張所,50
豊中市千成,48
豊中市千里,45
豊中市役所,40
吹田市垂水,52
吹田市北消防署,57
吹田市高野台,56
東大阪市西保健センター,64
東大阪市六万寺,58
東大阪市環境衛生検査センター,68
楠葉,75
枚方市役所,84
王仁公園,59
高槻北,69
庄所,79
八尾市保健所,72
成田,
寝屋川市役所,78
