局名,ppb
西部コミュニティセンター,73
国設大阪,63
茨木市役所,39
高石中学校,68
池田市立南畑会館,50
大東市役所,69
府立修徳学院,67
貝塚市消防署,70
島本町役場,28
富田林市役所,82
南海団地,61
泉南市役所,68
緑ケ丘小学校,75
三日市公民館,75
藤井寺市役所,81
岸和田中央公園,74
佐野中学校,67
泉大津市役所,63
豊能町役場,43
此花区役所,64
平尾小学校,57
野中小学校,65
桃谷中学校,69
大宮中学校,73
聖賢小学校,73
清江小学校,67
摂陽中学校,52
今宮中学校,63
九条南小学校,61
茨田北小学校,68
南港中央公園,44
出来島小学校,37
少林寺,74
浜寺,66
三宝,63
若松台,75
石津,72
登美丘,79
深井,75
美原,65
金岡南,77
高石消防署高師浜出張所,59
豊中市千成,62
豊中市千里,51
豊中市役所,58
吹田市垂水,67
吹田市北消防署,47
吹田市高野台,54
東大阪市西保健センター,70
東大阪市六万寺,71
東大阪市環境衛生検査センター,74
楠葉,38
枚方市役所,53
王仁公園,45
高槻北,****
庄所,42
八尾市保健所,71
成田,
寝屋川市役所,51
