局名,ppb
西部コミュニティセンター,53
国設大阪,55
茨木市役所,54
高石中学校,55
池田市立南畑会館,52
大東市役所,52
府立修徳学院,47
貝塚市消防署,55
島本町役場,50
富田林市役所,54
南海団地,61
泉南市役所,61
緑ケ丘小学校,56
三日市公民館,52
藤井寺市役所,50
岸和田中央公園,59
佐野中学校,55
泉大津市役所,55
豊能町役場,49
此花区役所,53
平尾小学校,53
野中小学校,54
桃谷中学校,53
大宮中学校,53
聖賢小学校,53
清江小学校,54
摂陽中学校,52
今宮中学校,57
九条南小学校,53
茨田北小学校,55
南港中央公園,49
出来島小学校,50
少林寺,55
浜寺,60
三宝,59
若松台,55
石津,60
登美丘,54
深井,56
美原,37
金岡南,55
高石消防署高師浜出張所,55
豊中市千成,55
豊中市千里,49
豊中市役所,52
吹田市垂水,52
吹田市北消防署,53
吹田市高野台,54
東大阪市西保健センター,55
東大阪市六万寺,50
東大阪市環境衛生検査センター,52
楠葉,51
枚方市役所,52
王仁公園,48
高槻北,51
庄所,54
八尾市保健所,52
成田,
寝屋川市役所,47
