局名,ppb
西部コミュニティセンター,57
国設大阪,55
茨木市役所,51
高石中学校,64
池田市立南畑会館,55
大東市役所,65
府立修徳学院,58
貝塚市消防署,62
島本町役場,51
富田林市役所,70
南海団地,56
泉南市役所,66
緑ケ丘小学校,67
三日市公民館,66
藤井寺市役所,66
岸和田中央公園,71
佐野中学校,62
泉大津市役所,66
豊能町役場,42
此花区役所,49
平尾小学校,58
野中小学校,52
桃谷中学校,59
大宮中学校,58
聖賢小学校,57
清江小学校,59
摂陽中学校,56
今宮中学校,58
九条南小学校,54
茨田北小学校,62
南港中央公園,56
出来島小学校,26
少林寺,61
浜寺,67
三宝,51
若松台,68
石津,60
登美丘,69
深井,70
美原,57
金岡南,68
高石消防署高師浜出張所,52
豊中市千成,52
豊中市千里,51
豊中市役所,47
吹田市垂水,54
吹田市北消防署,59
吹田市高野台,57
東大阪市西保健センター,63
東大阪市六万寺,65
東大阪市環境衛生検査センター,61
楠葉,64
枚方市役所,63
王仁公園,61
高槻北,57
庄所,62
八尾市保健所,64
成田,
寝屋川市役所,58
