局名,ppb
西部コミュニティセンター,48
国設大阪,47
茨木市役所,54
高石中学校,52
池田市立南畑会館,49
大東市役所,44
府立修徳学院,49
貝塚市消防署,52
島本町役場,33
富田林市役所,63
南海団地,49
泉南市役所,57
緑ケ丘小学校,61
三日市公民館,61
藤井寺市役所,57
岸和田中央公園,57
佐野中学校,56
泉大津市役所,51
豊能町役場,52
此花区役所,42
平尾小学校,43
野中小学校,44
桃谷中学校,47
大宮中学校,48
聖賢小学校,49
清江小学校,45
摂陽中学校,50
今宮中学校,48
九条南小学校,44
茨田北小学校,53
南港中央公園,42
出来島小学校,37
少林寺,54
浜寺,53
三宝,47
若松台,60
石津,52
登美丘,60
深井,61
美原,44
金岡南,55
高石消防署高師浜出張所,48
豊中市千成,44
豊中市千里,46
豊中市役所,45
吹田市垂水,47
吹田市北消防署,53
吹田市高野台,51
東大阪市西保健センター,53
東大阪市六万寺,47
東大阪市環境衛生検査センター,52
楠葉,39
枚方市役所,42
王仁公園,35
高槻北,53
庄所,48
八尾市保健所,53
成田,
寝屋川市役所,41
