局名,ppb
西部コミュニティセンター,54
国設大阪,55
茨木市役所,53
高石中学校,70
池田市立南畑会館,53
大東市役所,54
府立修徳学院,39
貝塚市消防署,68
島本町役場,35
富田林市役所,62
南海団地,65
泉南市役所,75
緑ケ丘小学校,75
三日市公民館,62
藤井寺市役所,50
岸和田中央公園,75
佐野中学校,72
泉大津市役所,70
豊能町役場,37
此花区役所,52
平尾小学校,50
野中小学校,56
桃谷中学校,54
大宮中学校,53
聖賢小学校,53
清江小学校,68
摂陽中学校,51
今宮中学校,55
九条南小学校,55
茨田北小学校,55
南港中央公園,43
出来島小学校,49
少林寺,69
浜寺,72
三宝,61
若松台,75
石津,71
登美丘,70
深井,70
美原,52
金岡南,67
高石消防署高師浜出張所,64
豊中市千成,55
豊中市千里,43
豊中市役所,51
吹田市垂水,50
吹田市北消防署,46
吹田市高野台,50
東大阪市西保健センター,54
東大阪市六万寺,46
東大阪市環境衛生検査センター,49
楠葉,58
枚方市役所,58
王仁公園,54
高槻北,35
庄所,58
八尾市保健所,50
成田,
寝屋川市役所,50
