局名,ppb
西部コミュニティセンター,6
国設大阪,15
茨木市役所,18
高石中学校,14
池田市立南畑会館,32
大東市役所,6
府立修徳学院,13
貝塚市消防署,18
島本町役場,4
富田林市役所,19
南海団地,37
泉南市役所,24
緑ケ丘小学校,19
三日市公民館,14
藤井寺市役所,14
岸和田中央公園,16
佐野中学校,18
泉大津市役所,18
豊能町役場,8
此花区役所,3
平尾小学校,7
野中小学校,22
桃谷中学校,7
大宮中学校,7
聖賢小学校,11
清江小学校,11
摂陽中学校,5
今宮中学校,15
九条南小学校,6
茨田北小学校,7
南港中央公園,1
出来島小学校,15
少林寺,2
浜寺,14
三宝,5
若松台,23
石津,7
登美丘,22
深井,15
美原,8
金岡南,15
高石消防署高師浜出張所,9
豊中市千成,10
豊中市千里,7
豊中市役所,13
吹田市垂水,23
吹田市北消防署,18
吹田市高野台,10
東大阪市西保健センター,13
東大阪市六万寺,11
東大阪市環境衛生検査センター,2
楠葉,5
枚方市役所,7
王仁公園,12
高槻北,****
庄所,2
八尾市保健所,8
成田,
寝屋川市役所,3
