局名,ppb
西部コミュニティセンター,8
国設大阪,33
茨木市役所,21
高石中学校,4
池田市立南畑会館,25
大東市役所,18
府立修徳学院,7
貝塚市消防署,32
島本町役場,3
富田林市役所,7
南海団地,36
泉南市役所,18
緑ケ丘小学校,17
三日市公民館,6
藤井寺市役所,6
岸和田中央公園,14
佐野中学校,25
泉大津市役所,14
豊能町役場,28
此花区役所,17
平尾小学校,37
野中小学校,26
桃谷中学校,31
大宮中学校,17
聖賢小学校,24
清江小学校,9
摂陽中学校,4
今宮中学校,38
九条南小学校,34
茨田北小学校,14
南港中央公園,9
出来島小学校,13
少林寺,3
浜寺,7
三宝,6
若松台,15
石津,6
登美丘,15
深井,13
美原,1
金岡南,8
高石消防署高師浜出張所,3
豊中市千成,20
豊中市千里,28
豊中市役所,21
吹田市垂水,30
吹田市北消防署,22
吹田市高野台,16
東大阪市西保健センター,20
東大阪市六万寺,21
東大阪市環境衛生検査センター,11
楠葉,5
枚方市役所,7
王仁公園,6
高槻北,****
庄所,12
八尾市保健所,2
成田,
寝屋川市役所,11
