局名,ppb
西部コミュニティセンター,14
国設大阪,18
茨木市役所,11
高石中学校,10
池田市立南畑会館,26
大東市役所,27
府立修徳学院,18
貝塚市消防署,16
島本町役場,6
富田林市役所,14
南海団地,17
泉南市役所,18
緑ケ丘小学校,14
三日市公民館,9
藤井寺市役所,20
岸和田中央公園,14
佐野中学校,14
泉大津市役所,13
豊能町役場,3
此花区役所,8
平尾小学校,15
野中小学校,18
桃谷中学校,15
大宮中学校,12
聖賢小学校,19
清江小学校,****
摂陽中学校,13
今宮中学校,****
九条南小学校,13
茨田北小学校,18
南港中央公園,****
出来島小学校,****
少林寺,19
浜寺,16
三宝,17
若松台,21
石津,16
登美丘,25
深井,16
美原,10
金岡南,15
高石消防署高師浜出張所,12
豊中市千成,4
豊中市千里,17
豊中市役所,21
吹田市垂水,14
吹田市北消防署,19
吹田市高野台,7
東大阪市西保健センター,12
東大阪市六万寺,19
東大阪市環境衛生検査センター,3
楠葉,9
枚方市役所,21
王仁公園,23
高槻北,****
庄所,13
八尾市保健所,13
成田,
寝屋川市役所,22
